Identificador,Data de envio (dd/mm/aaaa),Horário de envio,Dia da semana,Nome do email,Assunto,Leads selecionados,Descartados,Entregues,Bounce (únicos),Aberturas (únicas),Cliques (únicos),Descadastrados,Marcados como spam,Taxa de entrega,Taxa de abertura,Taxa de clique (CTR),Taxa de spam,Tipo de email,Nome do remetente,Email do remetente,Segmentações de envio,Segmentações excluídas,Níveis de engajamento - Leads engajados,Níveis de engajamento - Leads desengajados,Níveis de engajamento - Leads indeterminados
18152693,16/09/2025,16:00,Terça-feira,Classplay | BRASAS - É AMANHÃ! Aula 2 do Módulo 2,"*|PRIMEIRO_NOME|*, É AMANHÃ! Aula 2 do Módulo 2 às 10h, você vem?",22,0,22,0,15,2,0,0,100.0,68.18,9.09,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18190993,16/09/2025,11:00,Terça-feira,Educação | Formação de Professores 2025.2 - Alteração Aula Inaugural,"*|PRIMEIRO_NOME|*, a abertura da Formação mudou de data. ",69,0,68,1,58,11,0,0,98.55,85.29,16.18,0.0,Email Marketing,Templo Educação,educacao@templo.cc,"Formação de Professores 2025.2 | Selecionados Atualizado, Formação de Professores 2025.2 | Selecionados | Segunda leva","",Sim,Sim,Sim
18152545,15/09/2025,09:00,Segunda-feira,Classplay | BRASAS - É HOJE! Aula 1 do Módulo 2,*|PRIMEIRO_NOME|* É HOJE! Aula 1 do Módulo 2 às 10h!,22,0,22,0,20,0,0,0,100.0,90.91,0.0,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18178968,12/09/2025,17:20,Sexta-feira,Grupo de Estudos | Marketing 7° Edição - Pós Gravação,Grupo de Estudos Marketing + IA - Gravação 7° Edição e Convite para o grupo de especialistas,808,0,803,5,246,22,4,0,99.38,30.64,2.74,0.0,Email Marketing,Marcello do Templo,comunidade@templo.cc,Grupo Estudos | Marketing - Todos MQL's,"[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18141043,12/09/2025,16:00,Sexta-feira,Classplay | BRASAS - É SEGUNDA! Aula 1 do Módulo 2,"*|PRIMEIRO_NOME|*, É SEGUNDA! Aula 1 do Módulo 2 às 10h, você vem?",22,0,22,0,18,0,0,0,100.0,81.82,0.0,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18174845,12/09/2025,11:52,Sexta-feira,Educação | Formação de Professores 2025.2 - Aprovados (Segunda leva),"*|PRIMEIRO_NOME|*, sua vaga está confirmada – próximos passos.",3,0,3,0,3,3,0,0,100.0,100.0,100.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Selecionados | Segunda leva,"",Sim,Sim,Sim
18169745,11/09/2025,18:00,Quinta-feira,Educação | Formação de Professores 2025.2 - Aprovados,"*|PRIMEIRO_NOME|*, sua vaga está confirmada – próximos passos.",66,0,65,1,55,51,0,0,98.48,84.62,78.46,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Selecionados Atualizado,"",Sim,Sim,Sim
18170858,11/09/2025,18:00,Quinta-feira,Educação | Formação de Professores 2025.2 - Reprovados,"*|PRIMEIRO_NOME|*, informações sobre a Formação de Facilitadores(as) Templo.",4,0,4,0,4,0,0,0,100.0,100.0,0.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Não Selecionados,"",Sim,Sim,Sim
18153836,10/09/2025,18:30,Quarta-feira,[Newsletter] Rh - Setembro,News Templo - notícias de IA para Recursos Humanos,4630,0,4479,151,973,41,11,0,96.74,21.72,0.92,0.0,Email Marketing,News do Templo,comunidade@templo.cc,[Newsletter] Rh,"[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18159157,10/09/2025,18:00,Quarta-feira,[Newsletter] Marketing - Setembro,News Templo - notícias de IA para Marketing,2635,0,2559,76,730,27,2,0,97.12,28.53,1.06,0.0,Email Marketing,News do Templo,comunidade@templo.cc,[Newsletter] Marketing,"[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18112084,10/09/2025,14:00,Quarta-feira,Classplay | Acesso | FCA e Professores | Novidade LLMs," *|PRIMEIRO_NOME|*, chegou uma atualização no Classplay para você.",77,0,76,1,34,7,0,0,98.7,44.74,9.21,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,"Classplay | Onboarding - Professores 080825, Classplay | FCA - Alunos 080825",[Exclusão] Hard Bounce,Sim,Sim,Sim
18158336,10/09/2025,13:20,Quarta-feira,Grupo Estudos | Marketing 7° Edição - MQL's Edições Anteriores 2,Participe da 7° Edição Grupo de Estudos IA + Marketing e Ganhe Acesso Exclusivo ao Classplay,662,0,655,7,186,8,1,0,98.94,28.4,1.22,0.0,Email Marketing,Templo,comunidade@templo.cc,Grupo Estudos | Marketing - Todos MQL's,"[Leads] Bounces, [Exclusão] Hard Bounce, Grupo Estudos | Marketing - Edição 7 - MQL's",Sim,Sim,Sim
18152050,10/09/2025,10:00,Quarta-feira,Educação | NPS BRASAS - Módulo 1 | Lembrete 2,"Conta pra gente, *|PRIMEIRO_NOME|* - leva menos de 1 minuto!",15,0,15,0,12,1,0,0,100.0,80.0,6.67,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,Educação | NPS BRASAS - Módulo 1 | Não Responderam,"",Sim,Sim,Sim
18154055,09/09/2025,19:00,Terça-feira,[Newsletter] Semana 2/4 - Setembro 2025,Resumo executivo - as notícias de IA da semana,4153,0,4110,43,1008,22,6,0,98.96,24.53,0.54,0.0,Email Marketing,News do Templo,comunidade@templo.cc,"Grupo Estudos | TI - Todos MQL's, Grupo Estudos | Marketing - Todos MQL's, Grupo Estudos | RH - Todos MQL's, [News] Assinantes (Total)","[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18151839,09/09/2025,15:20,Terça-feira,Educação | NPS Lápis Raro - Módulo 1,"*|PRIMEIRO_NOME|*, queremos ouvir você: A IA aprende com feedback. E a gente também!",42,0,42,0,30,9,0,0,100.0,71.43,21.43,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,[RD] Lápis Raro - Alunos,"",Sim,Sim,Sim
18138844,08/09/2025,17:00,Segunda-feira,Educação | NPS BRASAS - Módulo 1,"*|PRIMEIRO_NOME|*, queremos ouvir você: A IA aprende com feedback. E a gente também!",22,0,22,0,20,9,0,0,100.0,90.91,40.91,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18134839,08/09/2025,08:00,Segunda-feira,Classplay | BRASAS - É HOJE! Q&A do Módulo 1,*|PRIMEIRO_NOME|* é HOJE! Q&A do Módulo 1 às 10h!,22,0,22,0,18,0,0,0,100.0,81.82,0.0,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18134197,05/09/2025,17:30,Sexta-feira,Educação | Formação de Professores 2025.2 - Agendamento de bancas #2,Formação de Facilitadores TEMPLO - Próxima etapa desbloqueada: agende a apresentação para a banca ⏰,36,0,36,0,26,9,0,0,100.0,72.22,25.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 18 | Indicados Não Inscritos,"",Sim,Sim,Sim
18134750,05/09/2025,17:21,Sexta-feira,Classplay | BRASAS - É SEGUNDA! Q&A do Módulo 1,"⏰ É SEGUNDA! Q&A do Módulo 1 às 10h, você vem?",22,0,22,0,16,7,0,0,100.0,72.73,31.82,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18109830,04/09/2025,18:30,Quinta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 17,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",5,0,5,0,4,1,0,0,100.0,80.0,20.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 17 | Banca,"",Sim,Sim,Sim
18126577,04/09/2025,18:00,Quinta-feira,Grupo Estudos Rh 11 Edição | Email Pós Gravação,Grupo de Estudos RH + IA - Materiais prometidos e convite para o grupo de especialistas,2005,0,1975,30,426,47,2,0,98.5,21.57,2.38,0.0,Email Marketing,Equipe Templo,comunidade@templo.cc,Grupo Estudos | RH - Todos MQL's,"[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18109810,04/09/2025,18:00,Quinta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 16,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",5,0,5,0,4,2,0,0,100.0,80.0,40.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 16 | Banca,"",Sim,Sim,Sim
18109794,04/09/2025,17:30,Quinta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 15,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",5,0,5,0,5,0,0,0,100.0,100.0,0.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 15 | Banca,"",Sim,Sim,Sim
18109749,04/09/2025,17:00,Quinta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 14,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",5,0,5,0,5,4,0,0,100.0,100.0,80.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 14 | Banca,"",Sim,Sim,Sim
18109733,04/09/2025,16:30,Quinta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 13,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",5,0,5,0,4,3,0,0,100.0,80.0,60.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 13 | Banca,"",Sim,Sim,Sim
18116428,03/09/2025,19:00,Quarta-feira,[Newsletter] Semana 1/4 - Setembro 2025,Resumo executivo - as notícias de IA da semana,4149,0,4051,98,1075,19,7,1,97.64,26.54,0.47,0.02,Email Marketing,News do Templo,comunidade@templo.cc,"Grupo Estudos | TI - Todos MQL's, Grupo Estudos | Marketing - Todos MQL's, Grupo Estudos | RH - Todos MQL's, [News] Assinantes (Total)","[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18108196,03/09/2025,13:00,Quarta-feira,Grupo Estudos | Marketing 7° Edição - Alteração de data,[DATA ALTERADA] Grupo de Estudos IA + Marketing e Acesso Exclusivo ao Classplay,59,0,57,2,20,0,1,0,96.61,35.09,0.0,0.0,Email Marketing,Templo,comunidade@templo.cc,"Grupo Estudos | Marketing - Edição 7 - MQL's Site, Grupo Estudos | Marketing - Edição 7 - MQL's Novos","[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18109723,03/09/2025,11:00,Quarta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 12,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",4,0,4,0,3,2,0,0,100.0,75.0,50.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 12 | Banca,"",Sim,Sim,Sim
18109708,03/09/2025,10:30,Quarta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 11,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",4,0,4,0,4,2,0,0,100.0,100.0,50.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 11 | Banca,"",Sim,Sim,Sim
18109694,03/09/2025,10:00,Quarta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 10,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",5,0,5,0,4,3,0,0,100.0,80.0,60.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 10 | Banca,"",Sim,Sim,Sim
18109678,03/09/2025,09:30,Quarta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 9,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",5,0,5,0,4,3,0,0,100.0,80.0,60.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 9 | Banca,"",Sim,Sim,Sim
18109643,03/09/2025,09:00,Quarta-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 8,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",5,0,5,0,5,1,0,0,100.0,100.0,20.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 8 | Banca,"",Sim,Sim,Sim
18108986,03/09/2025,08:30,Quarta-feira,Classplay | BRASAS - É HOJE! Aula 2 do Módulo 1,"🚨  É HOJE! Aula 2 do Módulo 1 às 10h, está preparado?",22,0,22,0,18,4,0,0,100.0,81.82,18.18,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18107562,02/09/2025,18:30,Terça-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 7,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",4,0,4,0,3,0,0,0,100.0,75.0,0.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 7 | Banca,"",Sim,Sim,Sim
18108963,02/09/2025,18:01,Terça-feira,Classplay | BRASAS - É AMANHÃ! Aula 2 do Módulo 1,"⏰ É AMANHÃ! Aula 2 do Módulo 1 às 10h, você vem?",22,0,22,0,17,5,0,0,100.0,77.27,22.73,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18107545,02/09/2025,18:00,Terça-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 6,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",1,0,1,0,1,0,0,0,100.0,100.0,0.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 6 | Banca,"",Sim,Sim,Sim
18107519,02/09/2025,17:00,Terça-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 5,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",1,0,1,0,1,0,0,0,100.0,100.0,0.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 5 | Banca,"",Sim,Sim,Sim
18107455,02/09/2025,15:30,Terça-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 4,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",1,0,1,0,0,0,0,0,100.0,0.0,0.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 4 | Banca,"",Sim,Sim,Sim
18107403,02/09/2025,15:04,Terça-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 3,"*|PRIMEIRO_NOME|*, sua banca começa às 16h — acesse o link e revise os pontos essenciais",3,0,3,0,3,2,0,0,100.0,100.0,66.67,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 3 | Banca,"",Sim,Sim,Sim
18106510,02/09/2025,14:30,Terça-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 2,"*|PRIMEIRO_NOME|*, sua banca começa em 1h — acesse o link e revise os pontos essenciais",3,0,3,0,3,2,0,0,100.0,100.0,66.67,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 2 | Banca,"",Sim,Sim,Sim
18105266,02/09/2025,14:05,Terça-feira,Educação | Formação de Professores 2025.2 - Lembrete Banca Grupo 1,"*|PRIMEIRO_NOME|*, sua banca começa às 15h — acesse o link e revise os pontos essenciais",3,0,3,0,3,1,0,0,100.0,100.0,33.33,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Grupo 1 | Banca,"",Sim,Sim,Sim
18099360,01/09/2025,16:10,Segunda-feira,Educação | Formação de Professores 2025.2 - Agendamento de bancas (luciano.duro@univates.br),Formação de Facilitadores TEMPLO - Próxima etapa desbloqueada: agende a apresentação para a banca ⏰,1,0,1,0,1,1,0,0,100.0,100.0,100.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores RD | Luciano ,"",Sim,Sim,Sim
18099271,01/09/2025,16:00,Segunda-feira,Educação | Formação de Professores 2025.2 - Lembrete agendamento de bancas #2,Formação de Facilitadores TEMPLO: Agende sua banca e garanta sua participação⏰,2,0,2,0,1,0,0,0,100.0,50.0,0.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Educação | Formação de Professores | Não receberam email de lembrete,"",Sim,Sim,Sim
18096012,01/09/2025,12:27,Segunda-feira,Educação | Formação de Professores 2025.2 - Lembrete agendamento de bancas,Formação de Facilitadores TEMPLO: Agende sua banca e garanta sua participação⏰,88,0,88,0,79,49,0,0,100.0,89.77,55.68,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 - Selecionados V1,"",Sim,Sim,Sim
18092965,01/09/2025,08:30,Segunda-feira,Classplay | BRASAS - É HOJE! Aula 1 do Módulo 1,"🚨  É HOJE! Aula 1 do Módulo 1 às 10h, está preparado?",22,0,22,0,20,7,0,0,100.0,90.91,31.82,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18090396,29/08/2025,17:44,Sexta-feira,Educação | Formação de Professores 2025.2 - Agendamento de bancas,Formação de Facilitadores TEMPLO - Próxima etapa desbloqueada: agende a apresentação para a banca ⏰,88,0,88,0,79,59,0,0,100.0,89.77,67.05,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 - Selecionados V1,"",Sim,Sim,Sim
18071062,27/08/2025,19:00,Quarta-feira,[Newsletter] Semana 4/4 - Agosto 2025,Resumo executivo - as notícias de IA da semana,3968,1,3886,81,990,19,5,0,97.96,25.48,0.49,0.0,Email Marketing,News do Templo,comunidade@templo.cc,"Grupo Estudos | TI - Todos MQL's, Grupo Estudos | Marketing - Todos MQL's, Grupo Estudos | RH - Todos MQL's, [News] Assinantes (Total)","[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18073960,27/08/2025,18:50,Quarta-feira,Grupo Estudos | Marketing 7° Edição - MQL's Edições Anteriores,Participe da 7° Edição Grupo de Estudos IA + Marketing e Ganhe Acesso Exclusivo ao Classplay,688,0,674,14,207,17,1,0,97.97,30.71,2.52,0.0,Email Marketing,Templo,comunidade@templo.cc,Grupo Estudos | Marketing - Todos MQL's,"[Leads] Bounces, [Exclusão] Hard Bounce, Grupo Estudos | Marketing - Edição 7 - MQL's",Sim,Sim,Sim
18073850,27/08/2025,18:40,Quarta-feira,Grupo Estudos | RH 11° Edição - MQL's Edições Anteriores,Participe da 11ª Edição IA + RH e Ganhe Acesso Exclusivo ao Classplay,1683,0,1643,40,337,36,0,0,97.62,20.51,2.19,0.0,Email Marketing,Templo,comunidade@templo.cc,Grupo Estudos | RH - Todos MQL's,"[Leads] Bounces, [Exclusão] Hard Bounce, Grupo Estudos | RH - Edição 11 - MQL's",Sim,Sim,Sim
18059837,26/08/2025,15:33,Terça-feira,Classplay | BRASAS - Envio Playlist Módulo 1,"*|PRIMEIRO_NOME|*, sua primeira playlist já está disponível! ",22,0,22,0,20,16,0,0,100.0,90.91,72.73,0.0,Email Marketing,Classplay Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18056745,25/08/2025,19:18,Segunda-feira,Classplay | Brasas | Onboarding | Acesso ," *|PRIMEIRO_NOME|*, sua jornada começa aqui! ",23,0,22,1,18,14,0,0,95.65,81.82,63.64,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,Classplay | Brasas | Acesso,[Exclusão] Hard Bounce,Sim,Sim,Sim
18051979,25/08/2025,12:53,Segunda-feira, Classplay | Free Trial - Acesso 25082025," *|PRIMEIRO_NOME|*, o seu acesso ao Classplay está ATIVO por 30 dias! Experimente! ",1,0,1,0,0,0,0,0,100.0,0.0,0.0,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,Classplay | Free Trial | 25082025,[Exclusão] Hard Bounce,Sim,Sim,Sim
18045851,22/08/2025,18:58,Sexta-feira,Educação | Formação Professores 2025.2 - NÃO Selecionados,Obrigado por se inscrever na Formação de Facilitadores Templo,33,0,33,0,24,0,0,0,100.0,72.73,0.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 - NÃO Selecionados V1,"",Sim,Sim,Sim
18045641,22/08/2025,17:30,Sexta-feira,Educação | Formação Professores 2025.2 - Selecionados,Boas-vindas à Formação de Professores TEMPLO – Confirmação da Inscrição  ,88,0,88,0,72,5,0,0,100.0,81.82,5.68,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 - Selecionados V1,"",Sim,Sim,Sim
18042139,22/08/2025,13:07,Sexta-feira,Classplay | Lápis Raro | Onboarding | Acesso ," *|PRIMEIRO_NOME|*, sua jornada começa aqui! ",42,0,42,0,26,16,0,0,100.0,61.9,38.1,0.0,Email Marketing,Equipe Classplay,comunidade@templo.cc,[RD] Lápis Raro - Alunos,[Exclusão] Hard Bounce,Sim,Sim,Sim
18024611,20/08/2025,19:00,Quarta-feira,[Newsletter] Semana 3/4 - Agosto 2025,Resumo executivo - as notícias de IA da semana,3839,1,3779,59,957,22,5,0,98.46,25.32,0.58,0.0,Email Marketing,News do Templo,comunidade@templo.cc,"Grupo Estudos | TI - Todos MQL's, Grupo Estudos | Marketing - Todos MQL's, Grupo Estudos | RH - Todos MQL's, [News] Assinantes (Total)","[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18028734,20/08/2025,17:15,Quarta-feira,Classplay | Free Trial - Acesso2 20082025," *|PRIMEIRO_NOME|*, o seu acesso ao Classplay está ATIVO por 30 dias! Experimente! ",2,0,2,0,1,1,0,0,100.0,50.0,50.0,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,Classplay | Free Trial - Acesso2 20082025,[Exclusão] Hard Bounce,Sim,Sim,Sim
18022610,20/08/2025,09:30,Quarta-feira,Classplay | Free Trial - Acesso 20082025," *|PRIMEIRO_NOME|*, o seu acesso ao Classplay está ATIVO por 30 dias! Experimente! ",1,0,1,0,1,0,0,0,100.0,100.0,0.0,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,Classplay | Free Trial | Acesso 20082025,[Exclusão] Hard Bounce,Sim,Sim,Sim
